Kurzbezeichnung,Parteiname,"Zusatzbezeichnung (nur, wenn im Wahlverfahren verwendet)"
PDG,Partei der Gewaltfreien,–
DKP,Deutsche Kommunistische Partei,–
MENSCHLICHE WELT,Menschliche Welt,für das Wohl und Glücklichsein aller
–,"Deutsche Tradition Sozial, kurz DTS",–
Tierschutzallianz,"Allianz für Menschenrechte, Tier- und Naturschutz",–
Die PARTEI,"Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative",–
BP,Bayernpartei,–
DGP,Die GERADE Partei,–
Gartenpartei,Gartenpartei,–
HUMANWIRTSCHAFT,HUMANWIRTSCHAFTSPARTEI,–
Deutsche Konservative,DEUTSCHE KONSERVATIVE,–
GRAL,Ganzheitliches Recht Auf Leben,–
MLPD,Marxistisch-Leninistische Partei Deutschlands,–
III. Weg,DER DRITTE WEG,–
SSW,Südschleswigscher Wählerverband,–
LIEBE,Europäische Partei LIEBE,–
Bündnis C,Bündnis C - Christen für Deutschland,–
Allianz Vielfalt,Allianz für Vielfalt & Mitbestimmung,–
UNABHÄNGIGE,UNABHÄNGIGE für bürgernahe Demokratie,–
APPD,Anarchistische Pogo-Partei Deutschlands,–
Die Humanisten,Partei der Humanisten,–
–,SLAM - Gruppe,–
dieBasis,Basisdemokratische Partei Deutschland,–
DFU,Deutsche Friedensunion,–
Volt,Volt Deutschland,–
SU,SustainableUnion,–
DHD,Das Haus Deutschland,–
–,MenschenRechte 100pro,–
–,Undeutscher Verein,–
–,Die Natürlichen e.V.,–
Tierschutzpartei,PARTEI MENSCH UMWELT TIERSCHUTZ,–
AlphaHHP,AlphaHHP - gesundheitspolitische Partei für Deutschland in Europa,–
Team Todenhöfer,Team Todenhöfer – Die Gerechtigkeitspartei,–
ÖDP,Ökologisch-Demokratische Partei,–
AUFBRUCH C,AUFBRUCH C – christliche Werte für eine menschliche Politik,–
–,Partei Aktive Demokraten,–
BüSo,Bürgerrechtsbewegung Solidarität,–
PP,Praktiker Partei,–
LD,Liberale Demokraten – Die Sozialliberalen,–
Rentner,Bündnis der Generationen - Rentner und Familie -,–
–,SOLIDARITÄT,–
WiR2020,WiR2020,–
DVB,Das Volk bestimmt,–
FAMILIE,Familien-Partei Deutschlands,–
Gesundheitsforschung,Partei für Gesundheitsforschung,–
DEGP,DEUTSCHE GERECHTIGKEITS PARTEI,–
BÜNDNIS21,diePinken/BÜNDNIS21,–
ZENTRUM,Deutsche Zentrumspartei - Älteste Partei Deutschlands gegründet 1870,–
SVP,Sächsische Volkspartei,–
PIRATEN,Piratenpartei Deutschland,–
V-Partei³,"V-Partei³ - Partei für Veränderung, Vegetarier und Veganer",–
DiB,DEMOKRATIE IN BEWEGUNG,–
NPD,Nationaldemokratische Partei Deutschlands,–
SGV,"SGV – Solidarität, Gerechtigkeit, Veränderung",–
ZRSD,Bundeszentralrat der Schwarzen in Deutschland,–
PdF,Partei des Fortschritts,–
DEUPROLIGA,Deutsche Protestantische Liga,–
B*,"bergpartei, die überpartei",ökoanarchistisch-realdadaistisches sammelbecken
Die Grauen,Die Grauen – Für alle Generationen,–
1e1w,One Europe One World,–
DGP,"Die Germanische Partei für Frauen, Rechtsstaat, Naturschutz, Kinderförderung und demokratischer Liebe",–
Graue Panther,Graue Panther,–
THP,Thüringer Heimatpartei,–
LKR,Liberal-Konservative Reformer,–
SGP,"Sozialistische Gleichheitspartei, Vierte Internationale",–
Volksabstimmung,Ab jetzt…Demokratie durch Volksabstimmung,Politik für die Menschen
–,SOLIDARITÄT,–
du.,Die Urbane. Eine HipHop Partei,–
BÜRGERBEWEGUNG,Bürgerbewegung für Fortschritt und Wandel,–
BIG,Bündnis für Innovation & Gerechtigkeit,–
LfK,">> Partei für Kinder, Jugendliche und Familien << – Lobbyisten für Kinder –",–
REP,DIE REPUBLIKANER,–
–,JESUSPARTY - PARTEI DES EVANGELIUMS,–
DM,Deutsche Mitte,Politik geht anders…
LOS,Die Losfraktion,–
KlimalisteBW,Klimaliste Baden-Württemberg,–
sonstige,DIE SONSTIGEN,X
GFA,Grundeinkommen für Alle,–
Kaipartei,KaiPartei,–
NIU,NIUp,–
AZ,Allianz Zukunft,–
Team Todenhöfer,Team Todenhöfer – Die Gerechtigkeitspartei (Landesverband Saarland),–
–,DIE NEUE MITTE,Zurück zur Vernunft
Wir2020,Wir2020,–
KSP,Klimaschutzpartei,–
–,rund für den Rechtsstaat und NEUE DEMOKRATIE,–
ACP,ACP - die Nicht-Partei,–
